"","X.1","region","lon","lat"
"1",1,"Austria",13.4845731840531,47.6446988091983
"2",2,"Belgium",4.39219049102106,50.6680204263598
"3",3,"Bulgaria",24.6873210850227,42.8936612005257
"4",4,"Croatia",16.4371593700743,44.887554959966
"5",5,"Cyprus",33.3269549225604,35.0191651067442
"6",6,"Czech Rep.",15.9035538033191,49.7069537042732
"7",7,"Denmark",9.6777093848139,56.3599336931649
"8",8,"Estonia",25.7099136515945,58.5065689752703
"9",9,"Finland",25.7718441264713,65.4770759214537
"10",10,"France",3.24587275640411,47.0237213371254
"11",11,"Germany",10.6187505814435,51.0655062477309
"12",12,"Greece",23.2230373032736,39.8015257527482
"13",13,"Hungary",19.0551156597905,47.4141371303783
"14",14,"Ireland",-7.72332348659988,53.5315231077447
"15",15,"Italy",12.6558754201793,43.0847489024974
"16",16,"Latvia",24.6569219203852,56.7920541079262
"17",17,"Lithuania",23.8184877544394,55.1331847515786
"18",18,"Luxembourg",5.98134955058222,49.8120871910668
"19",19,"Malta",14.4738119849307,35.8802133245211
"20",20,"Netherlands",5.58588827012121,52.1586069374025
"21",21,"Poland",19.2875385451894,51.682448314457
"22",22,"Portugal",-8.03866831436724,39.7640785206876
"23",23,"Romania",25.0627604324606,45.9111690518783
"24",24,"Slovakia",19.2395648597673,48.7762799724972
"25",25,"Slovenia",14.9953779096832,46.1070826279474
"26",26,"Spain",-4.4817232436001,40.2690643476953
"27",27,"Sweden",16.8421751746375,62.9110782487422
"28",28,"United Kingdom",-3.08275128029308,54.0057097789689
"29",29,"Moldova",28.3699,47.4116
"30",30,"Yogoslavia",20.4573,44.819
"31",31,"Ukraine",31.1656,48.3794
"32",32,"Turkey",35.2433,38.9637
"33",33,"The Netherlands",5.2913,52.1326
"34",34,"Switzerland",8.2275,46.8182
"35",35,"Serbia & Montenegro",19.3958,42.7044
"36",36,"Serbia",21.0059,44.0165
"37",37,"San Marino",12.4578,43.9424
"38",38,"Norway",8.4689,60.472
"39",39,"North Macedonia",21.7453,41.6086
"40",40,"Morocco",7.0926,31.7917
"41",41,"Montenegro",19.3744,42.7087
"42",42,"Monaco",7.4246,43.7384
"43",43,"Israel",34.8516,31.0461
"44",44,"Iceland",19.0208,64.9631
"45",45,"Georgia",43.3569,42.3154
"46",46,"Czech Republic",15.473,49.8175
"47",47,"Bosnia & Herzegovina",17.6791,43.9159
"48",48,"Belarus",27.9534,53.7098
"49",49,"Azerbaijan",47.5769,40.1431
"50",50,"Armenia",45.0382,40.0691
"51",51,"Albania",20.1683,41.1533
"52",52,"Andorra",1.5218,42.5063
"53",53,"Yugoslavia",20.4573,44.819
"54",54,"Russia",37.6173,55.7558
